
Fecha y hora de la conexion: Tue Dec  5 22:36:24 2023
Connected to localhost whith ip 127.0.0.1 on port 37780 using transport protocol TCP

localhost 127.0.0.1:37780 | Mensaje: HOLA
localhost 127.0.0.1:37780 TCP | Pregunta 250 ¿En que anio gano Espania el mundial de futbol?
localhost 127.0.0.1:37780 | Mensaje: RESPUESTA no lo se
localhost 127.0.0.1:37780 TCP | Orden 500 Error de sintaxis
localhost 127.0.0.1:37780 | Mensaje: RESPUESTA 67
localhost 127.0.0.1:37780 TCP | 354 MENOR#4
localhost 127.0.0.1:37780 | Mensaje: RESPUESTA 110
localhost 127.0.0.1:37780 TCP | 354 MENOR#3
localhost 127.0.0.1:37780 | Mensaje: RESPUESTA 220
localhost 127.0.0.1:37780 TCP | 354 MENOR#2
localhost 127.0.0.1:37780 | Mensaje: +
localhost 127.0.0.1:37780 TCP | Orden 500 Error de sintaxis
localhost 127.0.0.1:37780 | Mensaje: RESPUESTA 51
localhost 127.0.0.1:37780 TCP | 354 MENOR#1
localhost 127.0.0.1:37780 | Mensaje: RESPUESTA 110
localhost 127.0.0.1:37780 TCP | Orden 375 FALLO
localhost 127.0.0.1:37780 | Mensaje: RESPUESTA 554
localhost 127.0.0.1:37780 TCP | Orden 500 Error de sintaxis
localhost 127.0.0.1:37780 | Mensaje: +
localhost 127.0.0.1:37780 TCP | Pregunta 250 ¿En que anio gano Espania el mundial de futbol?
localhost 127.0.0.1:37780 | Mensaje: RESPU 34
localhost 127.0.0.1:37780 TCP | Orden 500 Error de sintaxis
localhost 127.0.0.1:37780 | Mensaje: RESPUESTA 110
localhost 127.0.0.1:37780 TCP | 354 MENOR#4
localhost 127.0.0.1:37780 | Mensaje: RESPUESTA 554
localhost 127.0.0.1:37780 TCP | 354 MENOR#3
localhost 127.0.0.1:37780 | Mensaje: ADIOSlocalhost 127.0.0.1:37780 TCP | Orden 500 Error de sintaxis

Saliendo... localhost 127.0.0.1:37780 TCP | All done at Tue Dec  5 22:36:25 2023

Fecha y hora de la conexion: Tue Dec  5 22:41:22 2023
Connected to localhost whith ip 127.0.0.1 on port 39772 using transport protocol TCP

localhost 127.0.0.1:39772 | Mensaje: HOLA
localhost 127.0.0.1:39772 TCP | Pregunta 250 ¿En que anio gano Espania el mundial de futbol?
localhost 127.0.0.1:39772 | Mensaje: RESPUESTA no lo se
localhost 127.0.0.1:39772 TCP | Orden 500 Error de sintaxis
localhost 127.0.0.1:39772 | Mensaje: RESPUESTA 67
localhost 127.0.0.1:39772 TCP | 354 MENOR#4
localhost 127.0.0.1:39772 | Mensaje: RESPUESTA 110
localhost 127.0.0.1:39772 TCP | 354 MENOR#3
localhost 127.0.0.1:39772 | Mensaje: RESPUESTA 220
localhost 127.0.0.1:39772 TCP | 354 MENOR#2
localhost 127.0.0.1:39772 | Mensaje: +
localhost 127.0.0.1:39772 TCP | Orden 500 Error de sintaxis
localhost 127.0.0.1:39772 | Mensaje: RESPUESTA 51
localhost 127.0.0.1:39772 TCP | 354 MENOR#1
localhost 127.0.0.1:39772 | Mensaje: RESPUESTA 110
localhost 127.0.0.1:39772 TCP | Orden 375 FALLO
localhost 127.0.0.1:39772 | Mensaje: RESPUESTA 554
localhost 127.0.0.1:39772 TCP | Orden 500 Error de sintaxis
localhost 127.0.0.1:39772 | Mensaje: +
localhost 127.0.0.1:39772 TCP | Pregunta 250 ¿En que anio gano Espania el mundial de futbol?
localhost 127.0.0.1:39772 | Mensaje: RESPU 34
localhost 127.0.0.1:39772 TCP | Orden 500 Error de sintaxis
localhost 127.0.0.1:39772 | Mensaje: RESPUESTA 110
localhost 127.0.0.1:39772 TCP | 354 MENOR#4
localhost 127.0.0.1:39772 | Mensaje: RESPUESTA 554
localhost 127.0.0.1:39772 TCP | 354 MENOR#3
localhost 127.0.0.1:39772 | Mensaje: ADIOSlocalhost 127.0.0.1:39772 TCP | Orden 500 Error de sintaxis

Saliendo... localhost 127.0.0.1:39772 TCP | All done at Tue Dec  5 22:41:22 2023
